table,sequence,variant,auroc,ci_low,ci_high,p,p_holm
backbone,AXT1POST,dino,0.7726,0.7069,0.8526,,
backbone,AXT1POST,wrn,0.8193,0.6958,0.9263,,
backbone,AXT1POST,ensemble,0.8335,0.7578,0.9142,,
backbone,AXT1POST,ens_minus_wrn,0.0142,-0.0375,0.0758,0.701,
backbone,AXFLAIR,dino,0.8304,0.7458,0.8969,,
backbone,AXFLAIR,wrn,0.912,0.8438,0.958,,
backbone,AXFLAIR,ensemble,0.878,0.8023,0.9331,,
backbone,AXFLAIR,ens_minus_wrn,-0.0339,-0.0758,0.0022,0.069,
backbone,AXT1,dino,0.768,0.678,0.8509,,
backbone,AXT1,wrn,0.8308,0.7431,0.9143,,
backbone,AXT1,ensemble,0.8243,0.74,0.9005,,
backbone,AXT1,ens_minus_wrn,-0.0065,-0.0438,0.0262,0.691,
scoring,AXT1POST,knn,0.7726,0.7069,0.8526,,
scoring,AXT1POST,lof,0.755,0.6731,0.857,,
scoring,AXT1POST,knn+lof,0.7674,0.6949,0.8599,,
scoring,AXT1POST,lof_minus_knn,-0.0176,-0.0539,0.0148,0.306,0.344
scoring,AXFLAIR,knn,0.8304,0.7458,0.8969,,
scoring,AXFLAIR,lof,0.8471,0.7612,0.9109,,
scoring,AXFLAIR,knn+lof,0.8424,0.7609,0.9059,,
scoring,AXFLAIR,lof_minus_knn,0.0167,-0.008,0.0414,0.172,0.344
scoring,AXT1,knn,0.768,0.678,0.8509,,
scoring,AXT1,lof,0.7151,0.599,0.8288,,
scoring,AXT1,knn+lof,0.7463,0.6437,0.8436,,
scoring,AXT1,lof_minus_knn,-0.0529,-0.097,-0.007,0.023,0.069
