sequence,model,bank_size,operator,seed,auroc
AXT1POST,padim,,max,0,0.7239
AXT1POST,padim,,top5,0,0.7850
AXT1POST,padim,,max,1,0.7420
AXT1POST,padim,,top5,1,0.7892
AXT1POST,padim,,max,2,0.7440
AXT1POST,padim,,top5,2,0.7911
AXT1POST,padim,,max,3,0.7483
AXT1POST,padim,,top5,3,0.7895
AXT1POST,padim,,max,4,0.7216
AXT1POST,padim,,top5,4,0.7897
AXFLAIR,padim,,max,0,0.7833
AXFLAIR,padim,,top5,0,0.8580
AXFLAIR,padim,,max,1,0.7772
AXFLAIR,padim,,top5,1,0.8513
AXFLAIR,padim,,max,2,0.7532
AXFLAIR,padim,,top5,2,0.8549
AXFLAIR,padim,,max,3,0.7553
AXFLAIR,padim,,top5,3,0.8567
AXFLAIR,padim,,max,4,0.7672
AXFLAIR,padim,,top5,4,0.8572
AXT1,padim,,max,0,0.7343
AXT1,padim,,top5,0,0.7970
AXT1,padim,,max,1,0.7284
AXT1,padim,,top5,1,0.7978
AXT1,padim,,max,2,0.7421
AXT1,padim,,top5,2,0.7917
AXT1,padim,,max,3,0.7385
AXT1,padim,,top5,3,0.8004
AXT1,padim,,max,4,0.7099
AXT1,padim,,top5,4,0.7943
AXT1POST,patchcore,1024,max,0,0.8235
AXT1POST,patchcore,1024,top5,0,0.8255
AXT1POST,patchcore,1024,max,1,0.8437
AXT1POST,patchcore,1024,top5,1,0.8410
AXT1POST,patchcore,1024,max,2,0.8409
AXT1POST,patchcore,1024,top5,2,0.8377
AXT1POST,patchcore,1024,max,3,0.8392
AXT1POST,patchcore,1024,top5,3,0.8264
AXT1POST,patchcore,1024,max,4,0.8316
AXT1POST,patchcore,1024,top5,4,0.8279
AXT1POST,patchcore,10240,max,0,0.8851
AXT1POST,patchcore,10240,top5,0,0.8639
AXT1POST,patchcore,10240,max,1,0.8806
AXT1POST,patchcore,10240,top5,1,0.8660
AXT1POST,patchcore,10240,max,2,0.8710
AXT1POST,patchcore,10240,top5,2,0.8645
AXT1POST,patchcore,10240,max,3,0.8792
AXT1POST,patchcore,10240,top5,3,0.8637
AXT1POST,patchcore,10240,max,4,0.8800
AXT1POST,patchcore,10240,top5,4,0.8681
AXFLAIR,patchcore,407,max,0,0.8524
AXFLAIR,patchcore,407,top5,0,0.8696
AXFLAIR,patchcore,407,max,1,0.8463
AXFLAIR,patchcore,407,top5,1,0.8592
AXFLAIR,patchcore,407,max,2,0.8459
AXFLAIR,patchcore,407,top5,2,0.8687
AXFLAIR,patchcore,407,max,3,0.8354
AXFLAIR,patchcore,407,top5,3,0.8779
AXFLAIR,patchcore,407,max,4,0.8656
AXFLAIR,patchcore,407,top5,4,0.8687
AXFLAIR,patchcore,4070,max,0,0.8716
AXFLAIR,patchcore,4070,top5,0,0.8817
AXFLAIR,patchcore,4070,max,1,0.8696
AXFLAIR,patchcore,4070,top5,1,0.8856
AXFLAIR,patchcore,4070,max,2,0.8703
AXFLAIR,patchcore,4070,top5,2,0.8830
AXFLAIR,patchcore,4070,max,3,0.8721
AXFLAIR,patchcore,4070,top5,3,0.8837
AXFLAIR,patchcore,4070,max,4,0.8585
AXFLAIR,patchcore,4070,top5,4,0.8819
AXT1,patchcore,381,max,0,0.8036
AXT1,patchcore,381,top5,0,0.8353
AXT1,patchcore,381,max,1,0.8016
AXT1,patchcore,381,top5,1,0.8002
AXT1,patchcore,381,max,2,0.8067
AXT1,patchcore,381,top5,2,0.8147
AXT1,patchcore,381,max,3,0.8071
AXT1,patchcore,381,top5,3,0.8083
AXT1,patchcore,381,max,4,0.7897
AXT1,patchcore,381,top5,4,0.7943
AXT1,patchcore,3814,max,0,0.8065
AXT1,patchcore,3814,top5,0,0.8171
AXT1,patchcore,3814,max,1,0.8172
AXT1,patchcore,3814,top5,1,0.8167
AXT1,patchcore,3814,max,2,0.8049
AXT1,patchcore,3814,top5,2,0.8188
AXT1,patchcore,3814,max,3,0.8120
AXT1,patchcore,3814,top5,3,0.8202
AXT1,patchcore,3814,max,4,0.8139
AXT1,patchcore,3814,top5,4,0.8232
AXT1POST,anomalydino,20000,top1,0,0.8912
AXT1POST,anomalydino,20000,top1,1,0.8933
AXT1POST,anomalydino,20000,top1,2,0.8985
AXT1POST,anomalydino,20000,top1,3,0.8818
AXT1POST,anomalydino,20000,top1,4,0.8926
AXFLAIR,anomalydino,20000,top1,0,0.8596
AXFLAIR,anomalydino,20000,top1,1,0.8550
AXFLAIR,anomalydino,20000,top1,2,0.8604
AXFLAIR,anomalydino,20000,top1,3,0.8602
AXFLAIR,anomalydino,20000,top1,4,0.8490
AXT1,anomalydino,20000,top1,0,0.8094
AXT1,anomalydino,20000,top1,1,0.8120
AXT1,anomalydino,20000,top1,2,0.8178
AXT1,anomalydino,20000,top1,3,0.8159
AXT1,anomalydino,20000,top1,4,0.8157
