sequence,level,spec_target,threshold,slice_sensitivity,achieved_specificity,fp_per_normal_volume,volume_sensitivity,n_abn_vol,n_nrm_vol
AXT1POST,image,0.9,23.9326,0.4419,0.8984,0.215,1.0,10,121
AXT1POST,image,0.95,26.283,0.2209,0.9492,0.107,0.7,10,121
AXT1POST,image,0.99,29.8251,0.0814,0.9883,0.025,0.3,10,121
AXT1POST,patch,0.9,32.728,0.6047,0.8984,0.207,1.0,10,121
AXT1POST,patch,0.95,33.6723,0.5233,0.9492,0.107,1.0,10,121
AXT1POST,patch,0.99,37.3768,0.3256,0.9883,0.025,0.7,10,121
AXFLAIR,image,0.9,26.5483,0.4935,0.8987,0.357,0.65,20,14
AXFLAIR,image,0.95,30.5893,0.2727,0.9494,0.143,0.55,20,14
AXFLAIR,image,0.99,32.6414,0.2078,0.9873,0.0,0.4,20,14
AXFLAIR,patch,0.9,31.7426,0.7143,0.8987,0.286,0.85,20,14
AXFLAIR,patch,0.95,35.3936,0.5519,0.9494,0.143,0.7,20,14
AXFLAIR,patch,0.99,37.9938,0.3961,0.9873,0.071,0.55,20,14
AXT1,image,0.9,26.8181,0.4718,0.8919,0.444,0.7333,15,18
AXT1,image,0.95,28.3272,0.3451,0.9459,0.222,0.7333,15,18
AXT1,image,0.99,32.2467,0.1197,0.9865,0.056,0.4667,15,18
AXT1,patch,0.9,34.3428,0.5282,0.8919,0.444,0.8,15,18
AXT1,patch,0.95,36.7266,0.4014,0.9459,0.222,0.7333,15,18
AXT1,patch,0.99,38.8415,0.3099,0.9865,0.056,0.6,15,18
