sequence,operator,auroc_image,auroc_patch_seed0,auroc_patch_seedmean,auroc_patch_seedsd,delta,ci_low,ci_high,p_unadj,n_volumes,p_holm_primary,p_holm_full
AXT1POST,max,0.7726,0.878,0.877,0.0059,0.1054,0.0373,0.1688,0.008,131,,0.07200000000000001
AXT1POST,mean,0.7726,0.735,0.7391,0.0027,-0.0376,-0.0879,0.0108,0.132,131,,0.6
AXT1POST,top1,0.7726,0.8888,0.8868,0.0052,0.1162,0.0535,0.1761,0.003,131,,0.03
AXT1POST,top5,0.7726,0.872,0.8732,0.004,0.0994,0.0473,0.1532,0.002,131,0.006,0.024
AXFLAIR,max,0.8304,0.8586,0.8584,0.0044,0.0282,-0.0113,0.0636,0.141,34,,0.6
AXFLAIR,mean,0.8304,0.8595,0.8594,0.0011,0.0291,-0.0102,0.0689,0.137,34,,0.6
AXFLAIR,top1,0.8304,0.8697,0.8664,0.0032,0.0393,0.004,0.0726,0.028,34,,0.168
AXFLAIR,top5,0.8304,0.8749,0.8701,0.0028,0.0445,0.0144,0.0772,0.002,34,0.006,0.024
AXT1,max,0.768,0.8043,0.8105,0.0041,0.0364,-0.0257,0.1001,0.267,33,,0.6
AXT1,mean,0.768,0.8247,0.824,0.0013,0.0567,0.0088,0.1141,0.02,33,,0.14
AXT1,top1,0.768,0.8117,0.8146,0.0035,0.0437,-0.0101,0.0989,0.12,33,,0.6
AXT1,top5,0.768,0.8211,0.8228,0.0038,0.0531,0.0112,0.094,0.013,33,0.013,0.104
